epoch,step,train_loss,val_loss
0,2342,5.460091590881348,5.479408264160156
1,4685,5.373452663421631,5.336981773376465
2,7028,5.295662879943848,5.27440881729126
3,9371,5.26785135269165,5.274016380310059
4,11714,5.246760368347168,5.263606071472168
5,14057,5.226728916168213,5.2394609451293945
6,16400,5.218491077423096,5.247642993927002
7,18743,5.207247257232666,5.226972579956055
8,21086,5.2047119140625,5.198541641235352
9,23429,5.195311546325684,5.2147111892700195
10,25772,5.193976879119873,5.196481704711914
11,28115,5.19393253326416,5.206803321838379
12,30458,5.184965133666992,5.210841655731201
13,32801,5.183995723724365,5.188687324523926
14,35144,5.178778648376465,5.221756935119629
15,37487,5.174654960632324,5.199072360992432
16,39830,5.171778678894043,5.179385185241699
17,42173,5.172926425933838,5.176749229431152
18,44516,5.1676177978515625,5.185083389282227
19,46859,5.163863182067871,5.18112850189209
20,49202,5.160265922546387,5.176316261291504
21,51545,5.159202575683594,5.178171157836914
22,53888,5.157078742980957,5.173407077789307
23,56231,5.151251792907715,5.174062728881836
24,58574,5.151854991912842,5.175168037414551
25,60917,5.14885950088501,5.173644542694092
26,63260,5.148409366607666,5.1548614501953125
27,65603,5.14572286605835,5.17189359664917
28,67946,5.140684604644775,5.159674644470215
29,70289,5.14087438583374,5.14588737487793
30,72632,5.142115116119385,5.146459579467773
31,74975,5.135900020599365,5.157515525817871
32,77318,5.134524822235107,5.141882419586182
33,79661,5.131888389587402,5.1496148109436035
34,82004,5.129756450653076,5.155394554138184
35,84347,5.125356197357178,5.137463092803955
36,86690,5.126181125640869,5.141559600830078
37,89033,5.122297763824463,5.129929542541504
38,91376,5.122243881225586,5.145961284637451
39,93719,5.120174884796143,5.123789310455322
40,96062,5.114938259124756,5.135589122772217
41,98405,5.116255283355713,5.122402667999268
42,100748,5.116239547729492,5.114309310913086
43,103091,5.114088535308838,5.1317338943481445
44,105434,5.110451698303223,5.1202921867370605
45,107777,5.10654878616333,5.136237144470215
46,110120,5.102555751800537,5.120491027832031
47,112463,5.102715969085693,5.125032424926758
48,114806,5.103940963745117,5.103789329528809
49,117149,5.099208831787109,5.149772644042969
50,119492,5.097201347351074,5.099501609802246
51,121835,5.099246025085449,5.129063606262207
52,124178,5.093704700469971,5.099750995635986
53,126521,5.088335990905762,5.129735946655273
54,128864,5.093938827514648,5.129150867462158
55,131207,5.091592311859131,5.115490913391113
56,133550,5.088721752166748,5.1435041427612305
57,135893,5.089378833770752,5.144475936889648
58,138236,5.087825775146484,5.11021614074707
59,140579,5.0857768058776855,5.098732948303223
60,142922,5.080556392669678,5.114115238189697
61,145265,5.080361366271973,5.097933769226074
62,147608,5.081039905548096,5.155436992645264
63,149951,5.079461097717285,5.111575126647949
64,152294,5.079685211181641,5.095895290374756
65,154637,5.077510356903076,5.099278450012207
66,156980,5.0763139724731445,5.134744167327881
67,159323,5.075403213500977,5.112432956695557
68,161666,5.076381683349609,5.104978561401367
69,164009,5.07467794418335,5.091092109680176
70,166352,5.072561740875244,5.133340358734131
71,168695,5.068589210510254,5.092431545257568
72,171038,5.0693888664245605,5.102941513061523
73,173381,5.067061424255371,5.067350387573242
74,175724,5.063638687133789,5.140316009521484
75,178067,5.062098026275635,5.104747295379639
76,180410,5.0657148361206055,5.127894878387451
77,182753,5.0625457763671875,5.078851222991943
78,185096,5.063007831573486,5.07833194732666
79,187439,5.059558868408203,5.1046857833862305
80,189782,5.05654239654541,5.1267571449279785
81,192125,5.059301376342773,5.068756580352783
82,194468,5.057774543762207,5.139819622039795
83,196811,5.05501127243042,5.1276092529296875
84,199154,5.050344467163086,5.12598180770874
85,201497,5.0530476570129395,5.083696365356445
86,203840,5.049438953399658,5.104829788208008
87,206183,5.043235778808594,5.113208293914795
88,208526,5.041624069213867,5.166948318481445
89,210869,5.038156032562256,5.152106761932373
90,213212,5.03612756729126,5.041489124298096
91,215555,5.033217906951904,5.159214019775391
92,217898,5.02936315536499,5.042614936828613
93,220241,5.021618366241455,5.060849666595459
94,222584,5.019463539123535,5.057286262512207
95,224927,5.019027233123779,5.085079669952393
96,227270,5.0139923095703125,5.093919277191162
97,229613,5.007843017578125,5.043732166290283
98,231956,5.001841068267822,5.040287971496582
99,234299,5.001497268676758,4.998318195343018
