epoch,step,train_loss,train_roc_auc_score,val_loss,val_roc_auc_score
0,1627,0.644353985786438,0.5974970459938049,0.6552232503890991,0.6076972484588623
1,3255,0.6201633810997009,0.6140535473823547,0.6248353123664856,0.6279429197311401
2,4883,0.6159865260124207,0.6155189275741577,0.6373074054718018,0.619406521320343
3,6511,0.6147928237915039,0.6180374026298523,0.6300221085548401,0.6346603035926819
4,8139,0.6125240325927734,0.6187068819999695,0.6314418911933899,0.6348320841789246
5,9767,0.6109941005706787,0.6219614744186401,0.6193366646766663,0.6287259459495544
6,11395,0.6114813685417175,0.6227422952651978,0.6345098614692688,0.6413164138793945
7,13023,0.6138257384300232,0.6184276938438416,0.6489376425743103,0.6318234801292419
8,14651,0.6144700646400452,0.615886926651001,0.635193943977356,0.6207259893417358
9,16279,0.612494945526123,0.6195829510688782,0.6550036072731018,0.6052406430244446
10,17907,0.612139880657196,0.6185528039932251,0.6501479744911194,0.6192445755004883
11,19535,0.6119312047958374,0.6210229992866516,0.6540555953979492,0.6248840689659119
12,21163,0.6095572710037231,0.6251643896102905,0.6361463665962219,0.6281785368919373
13,22791,0.6091354489326477,0.6265941262245178,0.638088047504425,0.641538143157959
14,24419,0.6110520958900452,0.6240761280059814,0.6425496935844421,0.6318884491920471
15,26047,0.6076589822769165,0.6270221471786499,0.6419886350631714,0.6410325169563293
16,27675,0.6079798340797424,0.6279243230819702,0.6481111645698547,0.640153169631958
17,29303,0.6090460419654846,0.6255431175231934,0.638137698173523,0.6304000020027161
18,30931,0.6080216765403748,0.6270936727523804,0.6572457551956177,0.6145980954170227
19,32559,0.6097575426101685,0.6255401968955994,0.6464498043060303,0.6327036619186401
20,34187,0.6113020181655884,0.6219205856323242,0.6411352753639221,0.6331619620323181
21,35815,0.6102579236030579,0.6241226196289062,0.6577948331832886,0.6148887872695923
22,37443,0.6091692447662354,0.623197078704834,0.676655113697052,0.6043492555618286
23,39071,0.6098173260688782,0.6229647994041443,0.6438847780227661,0.6320892572402954
24,40699,0.610480785369873,0.62333083152771,0.639266312122345,0.6309927105903625
25,42327,0.6097368001937866,0.6239604949951172,0.6691439151763916,0.6174416542053223
26,43955,0.6099653840065002,0.6232712268829346,0.6501926183700562,0.6320564150810242
27,45583,0.6089674830436707,0.625105619430542,0.6670088171958923,0.622418224811554
28,47211,0.6081064939498901,0.628854513168335,0.6494128704071045,0.6237024068832397
29,48839,0.6077659130096436,0.6307715773582458,0.6635550260543823,0.6203352808952332
30,50467,0.6081722974777222,0.627985954284668,0.6627906560897827,0.6225956678390503
31,52095,0.6082857251167297,0.6286565661430359,0.6521108746528625,0.6335393190383911
32,53723,0.6081189513206482,0.6286517381668091,0.6598682999610901,0.6232107281684875
33,55351,0.6066038012504578,0.6304601430892944,0.6735731959342957,0.604283332824707
34,56979,0.6060726642608643,0.632398784160614,0.6511608958244324,0.6067022085189819
35,58607,0.6060633063316345,0.6308044195175171,0.6548542380332947,0.6223101019859314
36,60235,0.606624960899353,0.6318376660346985,0.6547973155975342,0.6305239200592041
37,61863,0.6067596077919006,0.6313109993934631,0.673095703125,0.6120402812957764
38,63491,0.6073039770126343,0.629304051399231,0.6440719366073608,0.6400485038757324
39,65119,0.606535017490387,0.6312896609306335,0.6365379095077515,0.6420790553092957
40,66747,0.6058836579322815,0.6307250261306763,0.6730466485023499,0.6125037670135498
41,68375,0.6057146191596985,0.6311377286911011,0.6814733147621155,0.6058714985847473
42,70003,0.6075193881988525,0.6306049823760986,0.6581598520278931,0.6228532791137695
43,71631,0.604825496673584,0.6316506862640381,0.6526576280593872,0.6283379793167114
44,73259,0.6055561900138855,0.6303035616874695,0.6743668913841248,0.6134073138237
45,74887,0.606299638748169,0.6314046382904053,0.6678358912467957,0.6048400402069092
46,76515,0.6068732142448425,0.6291463971138,0.6739516854286194,0.6134512424468994
47,78143,0.6058690547943115,0.6314815282821655,0.6814911365509033,0.6062278151512146
48,79771,0.6055418848991394,0.632129430770874,0.6535974740982056,0.6296330094337463
49,81399,0.6052414178848267,0.6329428553581238,0.6736696362495422,0.6052994132041931
50,83027,0.6049063205718994,0.6329870223999023,0.6629759669303894,0.6139434576034546
51,84655,0.6050909757614136,0.6325034499168396,0.6665757894515991,0.6278702020645142
52,86283,0.6052745580673218,0.631155788898468,0.6524031162261963,0.6294699907302856
53,87911,0.6042274832725525,0.6332858204841614,0.659554123878479,0.627293586730957
54,89539,0.6055243015289307,0.6330341696739197,0.6659975647926331,0.6063798666000366
55,91167,0.6046595573425293,0.6333200931549072,0.6770982146263123,0.6131049990653992
56,92795,0.6057884693145752,0.631155788898468,0.6713621020317078,0.6062162518501282
57,94423,0.6055060029029846,0.6319026350975037,0.6571870446205139,0.6161730885505676
58,96051,0.6047030687332153,0.6334769129753113,0.6661859154701233,0.6111604571342468
59,97679,0.60654616355896,0.6301212906837463,0.673236608505249,0.6136927008628845
60,99307,0.6046816110610962,0.6309861540794373,0.6767914295196533,0.613519012928009
61,100935,0.6052598357200623,0.6301769614219666,0.6670469045639038,0.6139090657234192
62,102563,0.6041280627250671,0.6328284740447998,0.6510976552963257,0.6325396299362183
63,104191,0.6042855978012085,0.6329411268234253,0.6574994921684265,0.6289315819740295
64,105819,0.6043039560317993,0.6342870593070984,0.656973123550415,0.6135671138763428
65,107447,0.6041373610496521,0.6329831480979919,0.6699199080467224,0.613986611366272
66,109075,0.6046820878982544,0.6325511932373047,0.6716058850288391,0.6154453158378601
67,110703,0.6043331027030945,0.6325486898422241,0.6436284780502319,0.6311438083648682
68,112331,0.605025589466095,0.6336460113525391,0.6672566533088684,0.614436149597168
69,113959,0.6048768758773804,0.6329604387283325,0.6782272458076477,0.6055358052253723
70,115587,0.6059120893478394,0.6306434869766235,0.6561468243598938,0.6176593899726868
71,117215,0.6057437658309937,0.6328267455101013,0.6668505668640137,0.6139379143714905
72,118843,0.6050837635993958,0.6319796442985535,0.66287761926651,0.6306273937225342
73,120471,0.604303240776062,0.6331803202629089,0.660409152507782,0.616063117980957
74,122099,0.6051008701324463,0.6330134868621826,0.6694838404655457,0.6274963617324829
75,123727,0.6033856272697449,0.6340669393539429,0.6901516318321228,0.6052311658859253
76,125355,0.6038984656333923,0.6331174373626709,0.692539393901825,0.613369345664978
77,126983,0.6038921475410461,0.6327451467514038,0.6822050213813782,0.6128472089767456
78,128611,0.6052611470222473,0.6313438415527344,0.6598966717720032,0.6098654270172119
79,130239,0.6050199866294861,0.6331031918525696,0.6497501134872437,0.6130724549293518
80,131867,0.603105902671814,0.6357976794242859,0.6856985688209534,0.6140267252922058
81,133495,0.604311466217041,0.6328457593917847,0.6797223091125488,0.6067546606063843
82,135123,0.604891300201416,0.634575605392456,0.6911004781723022,0.6062211394309998
83,136751,0.604956865310669,0.6315670609474182,0.657177209854126,0.6210878491401672
84,138379,0.6042147278785706,0.6346052289009094,0.6912631988525391,0.6070369482040405
85,140007,0.6041707396507263,0.6328221559524536,0.6887145638465881,0.6056005358695984
86,141635,0.6048313975334167,0.6316951513290405,0.7029861211776733,0.6060941815376282
87,143263,0.6059879064559937,0.6308491230010986,0.6983404755592346,0.605917751789093
88,144891,0.6046907305717468,0.6306589841842651,0.6885291934013367,0.6057243943214417
89,146519,0.6046227812767029,0.6330994963645935,0.6899200081825256,0.6062141060829163
90,148147,0.6040509343147278,0.6341908574104309,0.7490414977073669,0.6044170260429382
91,149775,0.6032459735870361,0.6377354264259338,0.6873089671134949,0.6060805916786194
92,151403,0.603556752204895,0.6345796585083008,0.6885308027267456,0.6065161228179932
93,153031,0.6040249466896057,0.633952260017395,0.6735508441925049,0.6238148808479309
94,154659,0.6041603684425354,0.6343606114387512,0.6924806833267212,0.6065312623977661
95,156287,0.6030547022819519,0.6335620880126953,0.7095111012458801,0.6054769158363342
96,157915,0.6027792096138,0.6339686512947083,0.6900844573974609,0.6063787937164307
97,159543,0.6027777791023254,0.6349213719367981,0.7093076109886169,0.6055358052253723
98,161171,0.6048371195793152,0.6340850591659546,0.6916331648826599,0.6057851910591125
99,162799,0.6041750311851501,0.6348450779914856,0.7204148769378662,0.6051936745643616
