epoch,step,train_loss,train_roc_auc_score,val_loss,val_roc_auc_score
0,325,nan,0.5,nan,0.5
1,651,nan,0.5,nan,0.5
2,977,nan,0.5,nan,0.5
3,1303,nan,0.5,nan,0.5
4,1629,nan,0.5,nan,0.5
5,1955,nan,0.5,nan,0.5
6,2281,nan,0.5,nan,0.5
7,2607,nan,0.5,nan,0.5
8,2933,nan,0.5,nan,0.5
9,3259,nan,0.5,nan,0.5
10,3585,nan,0.5,nan,0.5
11,3911,nan,0.5,nan,0.5
12,4237,nan,0.5,nan,0.5
13,4563,nan,0.5,nan,0.5
14,4889,nan,0.5,nan,0.5
15,5215,nan,0.5,nan,0.5
16,5541,nan,0.5,nan,0.5
17,5867,nan,0.5,nan,0.5
18,6193,nan,0.5,nan,0.5
19,6519,nan,0.5,nan,0.5
20,6845,nan,0.5,nan,0.5
21,7171,nan,0.5,nan,0.5
22,7497,nan,0.5,nan,0.5
23,7823,nan,0.5,nan,0.5
24,8149,nan,0.5,nan,0.5
25,8475,nan,0.5,nan,0.5
26,8801,nan,0.5,nan,0.5
27,9127,nan,0.5,nan,0.5
28,9453,nan,0.5,nan,0.5
29,9779,nan,0.5,nan,0.5
30,10105,nan,0.5,nan,0.5
31,10431,nan,0.5,nan,0.5
32,10757,nan,0.5,nan,0.5
33,11083,nan,0.5,nan,0.5
34,11409,nan,0.5,nan,0.5
35,11735,nan,0.5,nan,0.5
36,12061,nan,0.5,nan,0.5
37,12387,nan,0.5,nan,0.5
38,12713,nan,0.5,nan,0.5
39,13039,nan,0.5,nan,0.5
40,13365,nan,0.5,nan,0.5
41,13691,nan,0.5,nan,0.5
42,14017,nan,0.5,nan,0.5
43,14343,nan,0.5,nan,0.5
44,14669,nan,0.5,nan,0.5
45,14995,nan,0.5,nan,0.5
46,15321,nan,0.5,nan,0.5
47,15647,nan,0.5,nan,0.5
48,15973,nan,0.5,nan,0.5
49,16299,nan,0.5,nan,0.5
50,16625,nan,0.5,nan,0.5
51,16951,nan,0.5,nan,0.5
52,17277,nan,0.5,nan,0.5
53,17603,nan,0.5,nan,0.5
54,17929,nan,0.5,nan,0.5
55,18255,nan,0.5,nan,0.5
56,18581,nan,0.5,nan,0.5
57,18907,nan,0.5,nan,0.5
58,19233,nan,0.5,nan,0.5
59,19559,nan,0.5,nan,0.5
60,19885,nan,0.5,nan,0.5
61,20211,nan,0.5,nan,0.5
62,20537,nan,0.5,nan,0.5
63,20863,nan,0.5,nan,0.5
64,21189,nan,0.5,nan,0.5
65,21515,nan,0.5,nan,0.5
66,21841,nan,0.5,nan,0.5
67,22167,nan,0.5,nan,0.5
68,22493,nan,0.5,nan,0.5
69,22819,nan,0.5,nan,0.5
70,23145,nan,0.5,nan,0.5
71,23471,nan,0.5,nan,0.5
72,23797,nan,0.5,nan,0.5
73,24123,nan,0.5,nan,0.5
74,24449,nan,0.5,nan,0.5
75,24775,nan,0.5,nan,0.5
76,25101,nan,0.5,nan,0.5
77,25427,nan,0.5,nan,0.5
78,25753,nan,0.5,nan,0.5
79,26079,nan,0.5,nan,0.5
80,26405,nan,0.5,nan,0.5
81,26731,nan,0.5,nan,0.5
82,27057,nan,0.5,nan,0.5
83,27383,nan,0.5,nan,0.5
84,27709,nan,0.5,nan,0.5
85,28035,nan,0.5,nan,0.5
86,28361,nan,0.5,nan,0.5
87,28687,nan,0.5,nan,0.5
88,29013,nan,0.5,nan,0.5
89,29339,nan,0.5,nan,0.5
90,29665,nan,0.5,nan,0.5
91,29991,nan,0.5,nan,0.5
92,30317,nan,0.5,nan,0.5
93,30643,nan,0.5,nan,0.5
94,30969,nan,0.5,nan,0.5
95,31295,nan,0.5,nan,0.5
96,31621,nan,0.5,nan,0.5
97,31947,nan,0.5,nan,0.5
98,32273,nan,0.5,nan,0.5
99,32599,nan,0.5,nan,0.5
