epoch,step,train_loss,val_loss
0,651,nan,nan
1,1303,nan,nan
2,1955,nan,nan
3,2607,nan,nan
4,3259,nan,nan
5,3911,nan,nan
6,4563,nan,nan
7,5215,nan,nan
8,5867,nan,nan
9,6519,nan,nan
10,7171,nan,nan
11,7823,nan,nan
12,8475,nan,nan
13,9127,nan,nan
14,9779,nan,nan
15,10431,nan,nan
16,11083,nan,nan
17,11735,nan,nan
18,12387,nan,nan
19,13039,nan,nan
20,13691,nan,nan
21,14343,nan,nan
22,14995,nan,nan
23,15647,nan,nan
24,16299,nan,nan
25,16951,nan,nan
26,17603,nan,nan
27,18255,nan,nan
28,18907,nan,nan
29,19559,nan,nan
30,20211,nan,nan
31,20863,nan,nan
32,21515,nan,nan
33,22167,nan,nan
34,22819,nan,nan
35,23471,nan,nan
36,24123,nan,nan
37,24775,nan,nan
38,25427,nan,nan
39,26079,nan,nan
40,26731,nan,nan
41,27383,nan,nan
42,28035,nan,nan
43,28687,nan,nan
44,29339,nan,nan
45,29991,nan,nan
46,30643,nan,nan
47,31295,nan,nan
48,31947,nan,nan
49,32599,nan,nan
50,33251,nan,nan
51,33903,nan,nan
52,34555,nan,nan
53,35207,nan,nan
54,35859,nan,nan
55,36511,nan,nan
56,37163,nan,nan
57,37815,nan,nan
58,38467,nan,nan
59,39119,nan,nan
60,39771,nan,nan
61,40423,nan,nan
62,41075,nan,nan
63,41727,nan,nan
64,42379,nan,nan
65,43031,nan,nan
66,43683,nan,nan
67,44335,nan,nan
68,44987,nan,nan
69,45639,nan,nan
70,46291,nan,nan
71,46943,nan,nan
72,47595,nan,nan
73,48247,nan,nan
74,48899,nan,nan
75,49551,nan,nan
76,50203,nan,nan
77,50855,nan,nan
78,51507,nan,nan
79,52159,nan,nan
80,52811,nan,nan
81,53463,nan,nan
82,54115,nan,nan
83,54767,nan,nan
84,55419,nan,nan
85,56071,nan,nan
86,56723,nan,nan
87,57375,nan,nan
88,58027,nan,nan
89,58679,nan,nan
90,59331,nan,nan
91,59983,nan,nan
92,60635,nan,nan
93,61287,nan,nan
94,61939,nan,nan
95,62591,nan,nan
96,63243,nan,nan
97,63895,nan,nan
98,64547,nan,nan
99,65199,nan,nan
